Citra,energy0,contras0,homogenity0,correlation0,energy45,contras45,homogenity45,correlation45,energy90,contras90,homogenity90,correlation90,energy135,contras135,homogenity135,correlation135,energy_mean,contras_mean,homogenity_mean,correlation_mean,Class
Apple Golden 1/r_167_100.jpg,0.014614508523495677,0.1554693384659351,184.35578689528575,0.970651369562227,0.010589400819291018,0.0038372160852356814,3639.3078228172835,0.3445421038840565,0.019925619725908988,0.0010089048418743622,3487.07645215836,1.0777467543779435,0.010551121055745506,0.005260058460261825,3692.3780055571556,0.3354121661525473,0.010551121055745506,0.005260058460261825,3692.3780055571556,0.3354121661525473,Golden_1
Apple Golden 1/r_212_100.jpg,0.014573268876973368,0.16632042767637667,162.28611281213787,0.9756950678394876,0.010414574726010728,0.0031094366399476658,3822.813581601429,0.35073874999359983,0.02005113352319823,0.0012354654877891101,3702.7488841526524,1.1068837580346536,0.010329636342432247,0.0032054766839732527,3894.5852381760315,0.33889357614699,0.010329636342432247,0.0032054766839732527,3894.5852381760315,0.33889357614699,Golden_1
Apple Golden 1/r_258_100.jpg,0.015504564013208108,0.19017090509383908,196.925018711303,0.9719600256108173,0.010940533159583645,0.004095861644429334,3789.282266049399,0.39492283791422067,0.01990209371224795,0.0018026980194634373,3629.854227350746,1.032195288869988,0.011252411870911453,0.004050990114196105,3855.36226698957,0.3839546477274489,0.011252411870911453,0.004050990114196105,3855.36226698957,0.3839546477274489,Golden_1
Apple Golden 1/274_100.jpg,0.01945945630654059,0.26822967352224614,110.59005239164522,0.9852352397441582,0.01345550923914373,0.002031701672139004,4893.7594234158905,0.24278731608886567,0.026666307630348902,0.0010882094720751348,4803.355857506603,1.2001308314857753,0.013941417176469668,0.0023130678084507072,4922.342112038062,0.23832226334855872,0.013941417176469668,0.0023130678084507072,4922.342112038062,0.23832226334855872,Golden_1
Apple Golden 1/305_100.jpg,0.019816611719522013,0.27934819298593927,136.32428386745627,0.9827459254480297,0.013441778762392678,0.0026831173987264816,4723.530903590551,0.3201960513499811,0.02718040500104389,0.001060971574803592,4607.236662677487,1.1343688417749271,0.01370355135895391,0.002395663103535826,4761.776327856524,0.3147372530244596,0.01370355135895391,0.002395663103535826,4761.776327856524,0.3147372530244596,Golden_1
Apple Golden 1/12_100.jpg,0.018410681133125547,0.26399689173155166,237.49261754099592,0.9680449080306588,0.012622062314275855,0.0032536488109020574,4519.734206818814,0.3100559487656697,0.02410678223357991,0.001403666875744441,4312.3507534104265,1.1377586342651549,0.01270827984727811,0.0020061098661950097,4582.922170706855,0.3001428330685985,0.01270827984727811,0.0020061098661950097,4582.922170706855,0.3001428330685985,Golden_1
Apple Golden 1/r_265_100.jpg,0.016100240260904956,0.20224860402254796,155.1011771109749,0.9780742057179618,0.011346603103981728,0.004028980397309985,3765.8511175810418,0.404108114388599,0.02108794153957965,0.0016712587441404878,3647.9283594649696,1.0289562254752092,0.011777098644865537,0.004810320860122855,3823.3412520014463,0.3955487908107417,0.011777098644865537,0.004810320860122855,3823.3412520014463,0.3955487908107417,Golden_1
Apple Golden 1/r_185_100.jpg,0.014617200909472855,0.16247635523093062,165.7372933251685,0.9754084490538283,0.010437572370807039,0.004056456432905933,3668.3935847834273,0.3925896234187408,0.020331347514523476,0.0012317076731011463,3541.645484492412,1.051857392652471,0.01039797353301878,0.0043542796752194255,3742.58226813831,0.3804271617509365,0.01039797353301878,0.0043542796752194255,3742.58226813831,0.3804271617509365,Golden_1
Apple Golden 1/264_100.jpg,0.018140450592326295,0.2468939168948285,108.66319657072903,0.9857427271607458,0.012855253202788174,0.0023203989272276063,4862.294179324007,0.26253486061047515,0.025844484187897553,0.001080523891542073,4772.148892376056,1.212556186455813,0.013085042424011158,0.002535003209200014,4891.578441564944,0.25838062544290097,0.013085042424011158,0.002535003209200014,4891.578441564944,0.25838062544290097,Golden_1
Apple Golden 1/r_311_100.jpg,0.016795197412050804,0.21107433059793784,170.60277607675107,0.9751929726352561,0.011948345035758225,0.0032391532992768228,4249.0411881596165,0.2896136304019444,0.02230763201702298,0.0010209933997235073,4109.106319875666,1.1303213775944434,0.011897502518994078,0.002954145999491061,4307.166864610957,0.2795921146444473,0.011897502518994078,0.002954145999491061,4307.166864610957,0.2795921146444473,Golden_1
Apple Golden 1/r_229_100.jpg,0.01488250267163852,0.15732046199197908,173.70361298224134,0.9718296096195578,0.010599934190689535,0.0035018951081560146,3929.350617778634,0.25740260879438975,0.020032444088761658,0.0011712853315339364,3809.2194011444435,1.1732040755124455,0.010755241989914998,0.0031048199863948785,4007.1812653744378,0.24250906394753516,0.010755241989914998,0.0031048199863948785,4007.1812653744378,0.24250906394753516,Golden_1
